token_address,buy_timestamp,rvol,natr,vwap_dev,stoch_k,stoch_d,upper_wick,lower_wick,market_cap,token_age_hours,data_points,label
HNa4CueNeYJYBVyaoobFzuVaVzNEJdREBvkuCXPYyqde,1751488846009,1.0000,0.0000,0.0000,62.1607,62.1607,0.3784,0.0000,9183628414905.65,0.00,1,good
FeoRXRWYRGPXktt2KVWYHoEP4nk4XabeTdeMX2Vepump,1751488664616,1.0000,0.0000,0.0000,100.0000,100.0000,0.0000,0.0000,63132381500990.09,0.00,1,bad
AjLY1z4gQ9in2p1ccT7wK3E5ETPMzF5u7NzQYRjodBLV,1751488117968,1.0000,0.0000,0.0000,50.0000,50.0000,0.0000,0.0000,35098764893839.11,0.00,1,good
7AAGhRob5GA7mNMEEoTnjyPvEhBZtrKdRT4huggBJoB7,1751488047214,1.9185,37.9603,1.5572,87.3122,87.3122,0.1867,0.1371,31136350631268.63,0.05,4,good
6PiDA26sXXdLVUKiNiUFv6jotKQ63sAeSXyGYJXWbonk,1751487957821,1.0000,0.0000,0.0000,50.0000,50.0000,0.0000,0.0000,62819445525423.14,0.00,1,bad
2LVr3wTZRebMoKptYbxRFjBJ8HbTfMVtPfheTXyjpump,1751487899069,4.8345,33.5196,1.2558,94.5624,94.5624,0.0750,0.0000,59620648410007.45,0.05,4,bad
2eTJqpK4QqWofGLSoirWNdC3Goyxp81KC3JDMqcupump,1751487203233,2.1916,9.8439,1.9224,81.5864,81.5864,0.4823,0.0000,46367179141876.27,1.02,57,good
9FmkLZ7TxgLorkFrmueCkTC9WvCtWMPBsjG3hZ7kbonk,1751486352984,1.1054,13.7348,1.7417,86.5098,86.5098,0.0000,0.0000,92968463336649.17,0.57,35,bad
8dLqkE9hzcA6tstUanFsj3pFFpAJDmUrzWwPTdLNpump,1751487075171,1.2919,12.4200,-1.8721,31.5507,31.5507,0.0000,0.0000,12612093947558.33,0.98,60,good
DgribofsgeQN6xtbP4MyQnnCedTBgQTCgQboeu48pump,1751487012002,1.0000,0.0000,0.0000,100.0000,100.0000,0.0000,0.0000,9373514721740.96,0.00,1,good
4JjrjxkjGLHAN49Qh6A6REQGNGZeSkYJu5Sqsd2AQddv,1751486834643,1.0000,0.0000,0.0000,45.5626,45.5626,0.5444,0.0000,9946273051670.54,0.00,1,good
BYrhwEnBqZVpoUxUriiSW4wxwUYREc44gZa7haRows6s,1751486673405,1.0000,0.0000,0.0000,88.9277,88.9277,0.1107,0.0000,5074703503420.93,0.00,1,good
h4t917QXVjMyfi6UVPJHrJ32J4UHBoSs614oCNDpump,1751486232910,1.0000,0.0000,0.0000,100.0000,100.0000,0.0000,0.0000,129867710489230.17,0.00,1,bad
J8dnhUSSuf99Wx1x6dqtpyDCjs2iH7bXhE7pzspcpump,1751486192003,11.4717,13.8998,1.9000,99.2329,99.2329,0.0092,0.0000,117316244157679.63,0.13,9,bad
LACzvBHMmpAnp8JSNF4Nz7mdVTngDPvpWvWFa9Gpump,1751485960147,1.0000,0.0000,0.0000,87.3912,87.3912,0.1261,0.0000,79954041194558.44,0.00,1,good
VAhzniNh6ST3t3eLhABVmx7vuBQF79QB8S21X2dpump,1751486056569,1.0000,0.0000,0.0000,100.0000,100.0000,0.0000,0.0000,197367581757809.38,0.00,1,good
2FbJASU595PqU1GeDLUwkLSv52Tg1Bd9LGPepzLMpump,1751485251316,1.0000,0.0000,0.0000,97.9916,97.9916,0.0201,0.0000,29872270071495.16,0.00,1,good
gxZi69F6DwY4c2XWhW4z8tkJcD6yMxFGFGp9rYDpump,1751484803903,1.0000,0.0000,0.0000,50.0000,50.0000,0.0000,0.0000,4273165758367.09,0.00,1,bad
AMYduzcT8AaQXxNPtLNfSHpZiNnMAe59ny9RGoZMbonk,1751484652230,1.0000,0.0000,0.0000,100.0000,100.0000,0.0000,0.2928,8095325579187.28,0.00,1,bad
DTf1r45zDHV8XkKLaQbXzsecBBVWsoVRx6PYC8Vypump,1751483607662,0.5871,43.4048,0.9165,87.8693,87.8693,0.3243,0.0058,92244711014112.88,0.05,4,good
oYjPaeBYv89oYpbDGKytP8UtxFv9b6m5FgAWmcKgfun,1751483923556,15.8511,9.5114,1.2508,100.0000,100.0000,0.0000,0.2129,47048772498815.71,0.25,16,bad
EmdQW2m6dVDmCbA74ZhxV1A3efdWZ23QtKWxEP13rBLV,1751482273016,1.0000,0.0000,0.0000,100.0000,100.0000,0.0000,0.0000,64226690344421.48,0.00,1,good
985YLrw4jeUhoXLCffv5x4EUtcnJ6HscJxfYMCL7bonk,1751482797138,7.6491,13.8609,0.9597,90.8364,90.8364,0.2143,0.1791,47345585118776.32,1.85,10,bad
