token_address,buy_timestamp,rvol,natr,vwap_dev,stoch_k,stoch_d,upper_wick,lower_wick,market_cap,token_age_hours,data_points,label
DvEgTZXF5Y3b6pQ8UWFUQSvbsmrBbsYZ8FrgQZRypump,1748816111017,1,0,0,93.7784,93.7784,0.0622,0,6677258659474.31,0,1,good
5GeXASUSEKRk1gC8Md8sdsVPAy65AE2rFyz7bk3Spump,1749302212598,1,0,0,100,100,0,0.0001,5515376340673.21,0,1,good
E6Tz7AKBTRWMF2vM6VP3oHPCdxPkHTwEzPLCwLQipump,1748137940781,1,0,0,22.7241,22.7241,0.7728,0,5621530742338.48,0,1,good
vTLcVXBoe1FKtHPR46eEUf41pU8K9jtFgdSWwSppump,1749610839397,1,0,0,100,100,0,0,8933621488673.54,0,1,good
EnXm9LHvrqwPvWfXEXdEQkhZudteMTP14mb8AdcexBLV,1749420764506,1.3131,26.162,2.548,99.9143,99.9143,0.0009,0.7072,35764549147139.81,0.02,2,good
FwXTjRh1RqhawD4xHcePCd3v9bdr8kLHt4hRNGSqpump,1751405376288,1,0,0,100,100,0,0,4404052209081.34,0,1,good
ZB3qrD82qLnx4ao23ccvdgWzncYguAUfES6Jmvgbonk,1752809516462,3.1571,85.2789,0.9594,98.3018,98.3018,0.0173,0.0007,41971219435910.13,0.02,2,bad
CaTEmAGnPi8eX3L62FF33zXBB8RYwBQFCMaDZQ8Upump,1749130732847,1,0,0,100,100,0,0,5017644739258.29,0,1,good
HwpNv8kKqGxUcEtgSsaemfLoGnDq3N436AfVCu47XvHg,1751811020341,1,0,0,50,50,0,0,4672678534719.47,0,1,good
2duHE5KdpFmuv34eWMCUEtt4PcCcHVNiuNAUt3t5pump,1749930366145,1,0,0,100,100,0,0,4778608492514.09,0,1,bad
A54zhGLi2xUd5zgGjdapxSvFrVUbqZbydG3URqAJpump,1749491294291,3.6241,4.9833,1.4421,86.5748,86.5748,0,0,44578375346155.48,1.02,57,bad
9PHbGAZ9kinY5pwmJgzXY5MfDG8Fgoj1CCPdZFMebiqC,1750626428837,1,0,0,70.6782,70.6782,0.2932,0,17961578369706.05,0,1,bad
8BU3yuGs3ruLZJjoDDJ4i9qcnLSYW6sGy13Pht4pump,1748297288213,0.6431,18.2538,1.3082,74.435,74.435,0,0.7515,81909247207857.44,0.23,15,bad
7r9WQKZSqs2SAhLH4dngaerwzvnMPf4f7gMzC6sypump,1750127528962,1.22,13.9118,2.2559,100,100,0,0.1767,69070831706851.72,0.55,34,bad
FiJ15MPKVMr7uRBjdELEMsBjuzaPSeW6e5FWMe4upump,1749765208539,1.9661,109.8705,-0.5489,46.8531,46.8531,0.079,0.2596,15159275667536.6,0.02,2,bad
2JTSZBmeG3tFJSb3pnJNWBhFPrgskL1sTgnyVMD5bonk,1750427825739,1,0,0,50,50,0,0,4952622500289.54,0,1,good
HGv8KLDHt7q13zn1NYCh6vyD6sM9pwjh5bVyg82kKm19,1751327271340,1,0,0,78.7325,78.7325,0.2127,0,61177457517471.47,0,1,good
DweXTbEz81EzNEk8t6hyPMvvcv8Mo2d2Cc29hqQUbonk,1752611712089,0.2278,31.0177,2.7599,95.7356,95.7356,0.1265,0,42762909657685.67,0.02,2,good
mAAJB2LtJoQgWYgRp5ASfEj2eAUTNXTYMksLS7Epump,1747790500247,1,0,0,63.6381,63.6381,0.3636,0,57127992988940.85,0,1,bad
8PJQGAfD77XGAGxxfrCYbs1oEMYrJ6YgM8b5qqLxbonk,1752802267457,4.0505,13.9108,1.5538,62.6534,62.6534,0.2007,0.0005,46793315514625.82,0.57,34,good
B8zpqE5wyY2YQK9xBAxXaVewgqFidUWxPRJHDa5Fbonk,1752000431781,0.2756,32.7943,7.6612,83.2246,83.2246,0.431,0.4268,17223015026074.6,0.02,2,good
CMzKCGptFbD8bju4d5MgfgxJ8wkY9yAZHuKTthSRbonk,1752692758022,1,0,0,100,100,0,0,19156470009096.56,0,1,bad
eYdfTu62mmqKV3CtG1eFaCmVzGU4iXJAwuB4qQyD2BU,1747757444695,4.9989,13.717,1.79,99.9384,99.9384,0.0006,0,77378403749791.56,0.08,6,good
91EsxsMMxh7WuPdkadSYMJ1mKxowpqTvf8iTP1EDpump,1749688237675,0.2913,2467.2813,-1.5174,0.1907,0.1907,0.1129,0.031,19224536409678.32,0.7,31,bad
B8wonxbMNJQg44L9oPxbFE8XDao4gHreYvjziw18bonk,1752809362115,10.7824,10.9802,1.6014,58.6889,58.6889,0.5024,0,82711187878778.33,0.98,60,good
9F8B124hSuidHu1QQw24NkrR8BrvPb2tiDBhz8hfpump,1749587967475,4.9789,16.9393,1.621,82.602,82.602,0.3134,0,66707781293997.84,0.12,8,bad
CgMcQeNcGsUizJWdsMFWAL2qjRsLz4EPq6k9b1XDbonk,1752113276227,1,0,0,100,100,0,0,5230749520584.95,0,1,good
8MDoUv1ZGQJAL1o52peQjJhYmsvSPwonxxqTmY2gbonk,1748216436199,1,0,0,100,100,0,0.3337,9013630068443.71,0,1,bad
75pBaPztK7p5EnjTcBFvMBrMfHwR4XS7mpzdnToabonk,1752248750107,9.646,8.9348,4.026,96.7124,96.7124,0.0648,0,49393556911375.62,1.53,60,bad
55pg8acSVAp883m4qXwyMuLDNC3RXPtzesNGwKEsbonk,1752030061678,1,0,0,100,100,0,0,5385623404280.79,0,1,good
CRxJdsymn8sqxkdTuyLx5HDydLwN8fYouioCxbb6bonk,1752190909347,1,0,0,100,100,0,0,5873227051744.06,0,1,good
DZBJKkQwzWZH8Ux8uYHpaMmDJyDZ8ukn3UVn4JHbpump,1749922779039,1,0,0,84.7757,84.7757,0.1522,0,5545181611003.36,0,1,good
9ygkvQJnfj1GKQ2Gbpr87hpxUea69w1ESSCZqrsmpump,1748349005246,0.3629,16.4239,4.4192,87.6776,87.6776,0.4412,0,33007434859793.96,0.02,2,good
uwpdMN4nHxMVQefL5AyJ73KABNR7n3NDgmprUGgbonk,1749062709984,0.3249,29.3896,2.1077,98.2298,98.2298,0,0,41383611704039.52,0.02,2,bad
BsRuzba7Gn5pLpqxv6eBqwNHzkJrYz5yTih4oDQrbonk,1752102889783,1,0,0,83.0039,83.0039,0.17,0.0026,30241248852208.73,0,1,good
FXsMFtefaRAEZ7bzCQDRJhv739iPGXFXRjDVHoV8cFiN,1747848936121,1,0,0,100,100,0,0,7037119793575.32,0,1,good
BvjSqDgy4phH7M3UoPnf4wfFAdmd2eVjzJtLi59q4UZj,1752162677580,1,0,0,82.9542,82.9542,0.1705,0,26658928364917.66,0,1,bad
GoJdEPemxHFvTe4EeUwd9XmR9Ncv4jKzQqpeM69yzTWf,1752502888217,2.288,48.1484,0.6749,96.7963,96.7963,0.0876,0.2828,30325999773936.72,0.03,3,bad
HhoQcRKzDsrzqf3B6nqCa81bQsXspdrvQ5DajEZ1pump,1749009842014,0.1946,46.6682,-0.5162,53.8196,53.8196,0.1535,0.0267,24155040980020.86,0.15,10,bad
HRqQMLYWzzfdJiGyV8UqJRY4FdyW9Mxznch5XanRpump,1750774707847,0.8577,58.555,1.5743,100,100,0,0.2082,25465731572101.62,0.02,2,bad
F27srTswCuuXfVUQL9JFyRtZPwSCzQ4xscErHRTXpump,1750306068906,1,0,0,90.3675,90.3675,0.0963,0,11580556809631.08,0,1,good
Di3Pu9Eanfxg2nF5ev65iwSqHSH1Em1J9BV6Vj1mbonk,1752423932578,1,0,0,50,50,0,0,5209089727313.73,0,1,good
7s1REVpNrV6T2tTxnzBr8ZmLxQgrCvcdfAizfsapump,1748883936212,1.6923,55.9059,1.383,94.8487,94.8487,0.0682,0.2046,14355732765214.69,0.02,2,bad
CQ4G9uG14XDSCHo7AEnWfGvZm5y5gyK5sHYvPKXnbonk,1751733515925,1,0,0,50,50,0,0,4642475639478.38,0,1,good
BmzunvTf2EANqcnwMb8PF5f8Y5uPcyPqhoyopqMvpump,1750287722271,0.6491,1369.5814,-1.0709,0,0,0,0,4119591765649.63,0.02,2,bad
GGYQAiix5HyuevoJByJ5QbA7os1dJmQXp65shw5Pbonk,1752105034128,1,0,0,99.6986,99.6986,0.003,0,5368510437488.63,0,1,good
2obLASom28dxTDLJxfocejSD5emSzbESWmXuX4Fubonk,1750974397339,19.9004,19.6894,0.3775,49.9335,49.9335,0.1735,0.2731,137003215931715.3,1.07,33,bad
HCTZzE4bMZh5nsnamh8bxCRqJssVvuNqPfzfv1MRpump,1748914654522,0.5458,30.9786,2.2428,95.6644,95.6644,0,0.161,12048467765305.41,0.03,3,good
Hp5R6SAXZGbpPuPhmqTUhKoMSmdVCAHBHf3o3XqJJF32,1749083539484,0.1799,5.3309,0.4713,99.9543,99.9543,0,0,12078719851378.55,1.82,17,bad
84TWeHVGRdL7vo9rZCnXPvFK4xamgRwMd1WarVzJpump,1748814012403,1,0,0,100,100,0,0,5019554492293.26,0,1,bad
FGLyGcGkHTAEC3qWoXJ9X88iCKCttPc4UHtiGPhXpump,1750786506872,1.161,9.2336,-0.9789,36.0699,36.0699,0,0,4591790483560.85,0.02,2,good
5Ud1EnMbCCyYE46wmywwR58cSH9miGudceLvEe4Gbonk,1752779347109,1,0,0,13.3921,13.3921,0.8661,0,6615236327960.08,0,1,good
6iESv5ZAQrshvwhJAV2Uvtezw3uMboLvDD8LYxZRbonk,1751985753877,1,0,0,100,100,0,0,6055351256084.49,0,1,good
8ubHLeL59DcDbnWMnsB2tEsoceYLm2PyStdmrN1spump,1750368221817,1,0,0,99.912,99.912,0.0009,0,25129767664096.71,0,1,good
BKXWcZHUDH9Fx9ULYNuSLe7j9zqhqw5HVAbHBjefbonk,1751209458335,0.7983,50.1956,1.8698,94.538,94.538,0.0965,0.1915,28384782666856.62,0.02,2,good
AAqDC9taXk3F5rHe5QRd4sdAajzeiYgKgVJGtHsRDBGw,1750886434882,1,0,0,3.5625,3.5625,0.9644,0,4091538257345.95,0,1,good
TnM2n4c6tEaduScuA3ALGL35JkxV7g3oznTuMUtpump,1750196787170,1,0,0,89.148,89.148,0.1085,0,15066110393029.45,0,1,bad
5St8aCaYwqqbfJqLESPWGRr8w8uARncvbYagBDXapump,1751035355283,1,0,0,100,100,0,0,4824180882091.53,0,1,good
EHEfnp5CLkgLKSbmUienMoUTWrF4zfuYY4QtQZwebonk,1749223876787,1,0,0,100,100,0,0,4649883916980.26,0,1,good
AJJh8YgS9QfL1JshwWYYC4rTXXMBjkYRZbUQu4V9pump,1751156106161,4.2624,39.994,1.0204,76.5981,76.5981,0.3716,0.2467,8189408877325.28,0.02,2,good
CxBzLaXfu3KwRkh8oVu4Ug4FSoauhozwiRtFnFTVbonk,1748803169935,1,0,0,21.3274,21.3274,0.7867,0,11246480705724.19,0,1,good
H5K9FYoBDVXeQBmW1SimwmS4E7Q21C1JSTfRFuwNmBLV,1749407656933,0.9211,21.9743,1.3959,100,100,0,0,73289187616514.7,0.02,2,bad
33Syc5cNy4Hybvi1sNf3ug3Gi6GVZncfpjHDZ2Rupump,1749672332244,1,0,0,100,100,0,0,12772858566844.62,0,1,bad
GR5o7e8Lft1ffrKZwstpstgM1f3XwD2F6wfLa8Ncpump,1748486403931,2.1888,7.4834,1.7355,63.336,63.336,0.3671,0.1878,65210394845056.68,1.08,60,bad
GL5fPgEjeKQM2eRgVhqNTyZQQXLn5MWtsFCt51mBbonk,1752721796317,1,0,0,100,100,0,0,6663296211309.71,0,1,good
F346yQoCbDpsMP2zsuaM62tsnZgiVXojxSZkqVosbonk,1752594659880,0.0111,14.1161,-21.1792,0,0,0.5352,0,4683405743490.64,0.02,2,good
DgS72TqFLibW7yW4FMCQ1HfiAES8YjR2SphgdXPqbonk,1750808560970,1,0,0,50,50,0,0,4819970486348.95,0,1,bad
3Ge3gQekiPjx9CfYA4QaRUwMcrNZPEgATStnu6s7pump,1748459004250,1,0,0,88.5385,88.5385,0.1146,0,25081182077061.34,0,1,good
9mJ7rcqbxFkLHMTaoB2qYydGL6m9dLy9UHs4FzMabonk,1752200037519,1,0,0,0,0,0,0,5639056757445.45,0,1,good
3nkZEnuab6tQxa9Li5VzBDJL9Jh1LKJqcJNJLkkibonk,1752419371872,1,0,0,100,100,0,1,5305904282445.6,0,1,good
8eVgWdy5gkoZNeSqRLTjzffGHq8aZQvFxBqbvTXDbonk,1752168193017,1.818,12.3664,2.1228,92.2175,92.2175,0.2136,0.2716,185131713912255.44,0.23,15,bad
CEk2arsoMFWAGV4Z9VV71ecjucvj8XyBLJa21Sxxbonk,1747948521440,1,0,0,50,50,0,0,6010993993572.39,0,1,good
Mfkw57Fmf6hGnzcPJkmS6kDJBdVvSBMJ6T3utaapump,1749091615356,1,0,0,46.7296,46.7296,0.5327,0,5464191183707.89,0,1,bad
kDfFj4Spbv6E9Uwz4uGvJ4UrNWdsxgsUWPNEoZEpump,1749840231394,1,0,0,100,100,0,0,22632171455039.14,0,1,good
8MwHB6fAEfUZvc8wK9r1VtDWjuxw6yZGciW6mfwcjest,1748388755481,2.7374,50.9682,-1.0953,16.353,16.353,0.0046,0.1301,18600698109050.59,1.25,24,good
9Pehhmh1z4aK41KF18wZ3huPX6bJR8HpxdcA3RWvpump,1748127422531,0.2698,12.8134,1.3503,63.4276,63.4276,0,0,8139288980368.94,0.02,2,good
pSiLBCQgztVteutEvfwdZYY1NyuAUHRLBxGLfaRjGME,1748526239322,1.245,26.4833,2.4169,94.8369,94.8369,0.0995,0.0327,44696195204376.71,0.15,10,bad
2hNTjk5Sspp7H6naNGgPyZNen7wsPXxTysf6JWE6qBLV,1752344586761,0.1705,24.6143,1.0584,94.9357,94.9357,0,0,79008457688875.75,0.07,5,good
5TrTRArZvnqQvLWziPJhF7PyTxRBcU7s4EaxGerWpump,1749173249147,7.6514,16.1918,1.3797,70.9881,70.9881,0.4353,0,96975846753688.02,0.45,10,good
2R2bzZ3LR7ufwYrwhAS3fKCnwcKeMGyPUtHrbU7qpump,1748102381230,1,0,0,94.1557,94.1557,0.0584,0,8280271409715.47,0,1,good
